acc,precision,f1,recall,nclust,sliding,k,t
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,2,2,1,22502.998
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,2,2,2,22123.002
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,2,2,10,22176.0
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,2,2,50,23187.686999999998
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,2,3,1,21093.001
0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,2,3,2,19479.998
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,2,3,10,21431.999
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,2,3,50,21620.003
0.3548387096774194,0.3548387096774194,0.35483870967741943,0.3548387096774194,2,5,1,20141.997
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,2,5,2,19832.003
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,2,5,10,20016.997
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,2,5,50,19898.002
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,5,2,1,27884.0
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,5,2,2,30604.0
0.5806451612903226,0.5806451612903226,0.5806451612903226,0.5806451612903226,5,2,10,27725.999
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,5,2,50,28104.002
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,5,3,1,28762.999
0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7419354838709677,5,3,2,25409.998
0.6451612903225806,0.6451612903225806,0.6451612903225806,0.6451612903225806,5,3,10,28164.001
0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935,5,3,50,27793.001
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,5,5,1,24204.0
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,5,5,2,25691.175000000003
0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,5,5,10,25905.002
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,5,5,50,22698.999
0.3548387096774194,0.3548387096774194,0.35483870967741943,0.3548387096774194,20,2,1,59586.001000000004
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,20,2,2,57781.594000000005
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,20,2,10,59175.505
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20,2,50,57221.0
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20,3,1,55872.0
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,20,3,2,58672.454999999994
0.3548387096774194,0.3548387096774194,0.35483870967741943,0.3548387096774194,20,3,10,55596.327999999994
0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,20,3,50,58147.321
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20,5,1,48822.692
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20,5,2,49005.0
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,20,5,10,52102.581
0.3548387096774194,0.3548387096774194,0.35483870967741943,0.3548387096774194,20,5,50,57542.524
0.41935483870967744,0.41935483870967744,0.41935483870967744,0.41935483870967744,100,2,1,131376.0
0.3225806451612903,0.3225806451612903,0.3225806451612903,0.3225806451612903,100,2,2,131444.516
0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,100,2,10,111947.002
0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,100,2,50,67547.381
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,3,1,66336.188
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,3,2,65288.085
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,3,10,65130.161
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,3,50,65511.248999999996
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,5,1,63100.003
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,5,2,63073.821
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,5,10,62944.414
0.3870967741935484,0.3870967741935484,0.3870967741935484,0.3870967741935484,100,5,50,63194.506
